"","IRF_x1"
"1",0.0281079409135357
"2",0.0543622483656893
"3",0.0274821992832153
"4",0.0204986049446956
"5",0.0189965504898331
"6",0.0216274020048811
"7",0.0222816364013673
"8",0.0200067347921837
"9",0.0175103511975697
"10",0.0138603301268742
"11",0.0120273002652219
"12",0.0131067809387977
"13",0.0105789094475227
"14",0.0111933141027239
"15",0.00809080297617861
"16",0.00760565018220622
"17",0.00892827842219913
"18",0.00688279886686334
"19",0.00423933347284629
"20",0.00614315163481276
"21",0.00421545955458892
"22",0.00465100966466404
"23",0.00539112752525996
"24",0.0048150090604933
"25",0.00103921968461367
"26",0.00385360873785837
"27",0.00499257703874415
"28",0.00259159998213234
"29",0.00314572888349744
"30",0.00057372854805833
"31",0.00171990036499713
"32",0.00402295617565125
"33",0.00407929132229391
"34",0.00194879760403249
"35",0.00168214911195498
"36",0.000886568366715155
