gridcode,country,longitude,latitude,station_name,station_id,area_km2
4,CA,-121.0124969,55.06528091,MURRAY RIVER ABOVE WOLVERINE RIVER,07FB006,2384.38209360139
8,CA,-107.7436066,54.93027878,DORE RIVER NEAR THE MOUTH,06AG002,2832.01337179386
14,CA,-57.7838287354,48.806640625,COPPER POND BROOK NEAR CORNER BROOK LAKE,02YL011,12.2933693655122
15,CA,-58.78358078,48.1083908081,HIGHLANDS RIVER AT TRANS-CANADA HIGHWAY,02ZA002,69.7938966818165
16,CA,-55.3300018311,47.21641922,GARNISH RIVER NEAR GARNISH,02ZG001,194.78200062483
17,CA,-79.6065826416,45.9491882324,COMMANDA CREEK NEAR COMMANDA,02DD015,123.949815189133
25,CA,-68.4515609741,63.7360305786,APEX RIVER AT APEX,10UH002,54.36171999944
26,CA,-95.8521118164,63.6525802612,KAZAN RIVER ABOVE KAZAN FALLS,06LC001,68606.7205548787
28,CA,-101.3955002,58.00431061,COCHRANE RIVER NEAR BROCHET,06DA002,20248.4027595785
29,CA,-94.19805908,58.01353073,DEER RIVER NORTH OF BELCHER,06FD002,1887.00021832583
30,CA,-96.27668762,58.89128876,SEAL RIVER BELOW GREAT ISLAND,06GD001,48312.8540208648
31,CA,-95.66385651,57.65327835,LITTLE BEAVER RIVER NEAR THE MOUTH,06FB002,4261.13108713729
32,CA,-93.45305634,57.02305984,WEIR RIVER ABOVE THE MOUTH,05UH002,2198.63914961229
33,CA,-94.21617126,56.51258087,LIMESTONE RIVER NEAR BIRD,05UG001,3256.0569543674
34,CA,-62.161441803,56.3731384277,REID BROOK AT OUTLET OF REID POND,03NE001,77.6874095984657
35,CA,-62.1103286743,56.3405609131,CAMP POND BROOK BELOW CAMP POND,03NE002,25.7338126824865
36,CA,-94.69664764,56.34156036,KETTLE RIVER NEAR GILLAM,05UF004,1088.97070985599
37,CA,-93.64111328,56.67694092,ANGLING RIVER NEAR BIRD,05UH001,1647.93515993667
38,CA,-98.88639069,55.93111038,FOOTPRINT RIVER ABOVE FOOTPRINT LAKE,05TF002,655.240345821369
39,CA,-97.35762024,55.99525833,ODEI RIVER NEAR THOMPSON,05TG003,5683.35892500936
41,CA,-98.49,55.91,SAPOCHI RIVER NEAR NELSON HOUSE,05TG006,423.934734790125
42,CA,-98.19207764,55.48984909,TAYLOR RIVER NEAR THOMPSON,05TG002,891.363487334845
43,CA,-74.3399963379,55.6841697693,BALEINE (PETITE RIVIERE DE LA) EN AMONT DU CHENAL ANCEL,03FC008,11195.9028851788
44,CA,-99.22088623,55.49662018,BURNTWOOD RIVER ABOVE LEAF RAPIDS,05TE002,6162.97618389035
45,CA,-61.30168915,55.23413849,UGJOKTOK RIVER BELOW HARP LAKE,03NF001,7356.81681410775
