"","catchment_no","criteria","n_windows","sd_windows","nrmse","r2","nse","kge","longitude","latitude","region"
"1","1","best_aic","3","0.2","0.468463457818987","-0.1696353665195","-0.1696353665195","0.28815535783055","-104.7358322","55.64749908","NA"
"2","1","best_bic","3","0.276887462097269","0.481468812126977","-0.156853065646432","-0.156853065646432","0.277079599689308","-104.7358322","55.64749908","NA"
"3","1","best_rmse","3","0.33166247903554","0.475078620787501","-0.198827384386271","-0.198827384386271","0.285995379377194","-104.7358322","55.64749908","NA"
"4","100","best_aic","3","0.276887462097269","2.21791715673494","0.218733194194174","0.218733194194174","0.249919191813751","-117.2057037","54.75201035","NA"
"5","100","best_bic","2","0","2.14136412488373","0.247446335845325","0.247446335845325","0.284907985157842","-117.2057037","54.75201035","NA"
"6","100","best_rmse","3","0.2","2.14201118565333","0.230382894313794","0.230382894313794","0.282554049900998","-117.2057037","54.75201035","NA"
"7","1000","best_aic","3","0.489897948556636","1.70500416949874","0.21982974782512","0.21982974782512","0.278149818151691","-113.947692871","49.4864006042","NA"
"8","1000","best_bic","2","0.33166247903554","1.69910383273646","0.291673903019283","0.291673903019283","0.305547476359429","-113.947692871","49.4864006042","NA"
"9","1000","best_rmse","3","0.458257569495584","1.70603540016437","0.262644796398383","0.262644796398383","0.295791154656066","-113.947692871","49.4864006042","NA"
"10","1003","best_aic","3","0.408248290463863","1.46976959299523","0.0686666595951569","0.0686666595951569","0.0435509199902186","-114.144378662","49.488658905","NA"
"11","1003","best_bic","2","0.5","1.45352253919965","0.0675685917115027","0.0675685917115027","0.0506969879251485","-114.144378662","49.488658905","NA"
"12","1003","best_rmse","3","0.5","1.47413672080438","0.0723686961304643","0.0723686961304643","0.0398882942165482","-114.144378662","49.488658905","NA"
"13","1004","best_aic","3","0.556776436283002","1.56950875931336","0.0203810017707808","0.0203810017707808","0.130066369022193","-114.183326721","49.8138885498","NA"
"14","1004","best_bic","2","0.276887462097269","1.56729626147963","0.0118557257771271","0.0118557257771271","0.126596469566931","-114.183326721","49.8138885498","NA"
"15","1004","best_rmse","3","0.522812904711937","1.56519530249306","-0.0456081890247842","-0.0456081890247842","0.11388551267791","-114.183326721","49.8138885498","NA"
"16","1006","best_aic","3","0.374165738677394","1.4930289139806","0.0575316271256995","0.0575316271256995","0.0478215644763178","-114.420593262","49.8377914429","NA"
"17","1006","best_bic","2","0.472581562625261","1.49371538253406","0.0335001929362374","0.0335001929362374","0.040252720663918","-114.420593262","49.8377914429","NA"
"18","1006","best_rmse","3","0.408248290463863","1.50047625071704","0.0546310164354949","0.0546310164354949","0.0429735100462151","-114.420593262","49.8377914429","NA"
"19","1007","best_aic","3","0.506622805119022","0.931292596106792","0.00618993126581017","0.00618993126581017","0.234793735926069","-114.400543213","49.6018486023","NA"
"20","1007","best_bic","2","0.2","0.910582909425468","0.0696348995181762","0.0696348995181762","0.240031777792022","-114.400543213","49.6018486023","NA"
"21","1007","best_rmse","3","0.435889894354067","0.928120024031645","0.0334064183548478","0.0334064183548478","0.236569788195971","-114.400543213","49.6018486023","NA"
"22","1008","best_aic","2","0.506622805119022","1.67474415767851","-0.375314471878505","-0.375314471878505","0.0717359996299672","-114.238098145","49.7632789612","NA"
"23","1008","best_bic","2","0.489897948556636","1.62967542791044","-0.171904886336125","-0.171904886336125","0.131121220250614","-114.238098145","49.7632789612","NA"
"24","1008","best_rmse","3","0.476095228569523","1.69626989742045","-0.644495099508894","-0.644495099508894","0.00355075620231237","-114.238098145","49.7632789612","NA"
"25","1009","best_aic","2","0.408248290463863","4.10261205498539","-2.03629961259934","-2.03629961259934","-1.08504585841322","-113.795303345","49.6393814087","NA"
"26","1009","best_bic","2","0.374165738677394","3.79244482510918","-1.44457710862782","-1.44457710862782","-0.831883694999491","-113.795303345","49.6393814087","NA"
"27","1009","best_rmse","2","0.5","3.82964481210721","-1.21226873739898","-1.21226873739898","-0.697389358181339","-113.795303345","49.6393814087","NA"
