"","catchment_no","criteria","mean_nrmse","mean_r2","mean_nse","mean_kge","n_windows","mean_delta1","mean_shape1","mean_rate1","sd_delta1","sd_shape1","sd_rate1","mean_delta2","mean_shape2","mean_rate2","sd_delta2","sd_shape2","sd_rate2","median_mod_kge","median_mod_delta1","median_mod_shape1","median_mod_rate1","median_mod_delta2","median_mod_shape2","median_mod_rate2","longitude","latitude","region"
"1",1,best_aic,0.536191852398021,-0.444782928587627,-0.444782928587627,0.203604624163114,1,1.74158203896277,1.1978078760778,0.0836857970245858,2.05131810448242,0.136914589266162,0.25693245755078,0.975444741898843,1.13834947542346,0.110055299062547,0.216931039213432,0.122085390215646,0.240360547988304,0.209524830567562,0.801364373101596,1.20051307426471,0.00829635299201562,0.801364373101596,1.20051307426471,0.00829635299201562,-104.7358322,55.64749908,n.a.
"2",1,best_aic,0.536191852398021,-0.444782928587627,-0.444782928587627,0.203604624163114,1,1.74158203896277,1.1978078760778,0.0836857970245858,2.05131810448242,0.136914589266162,0.25693245755078,0.975444741898843,1.13834947542346,0.110055299062547,0.216931039213432,0.122085390215646,0.240360547988304,0.209524830567562,0.801364373101596,1.20051307426471,0.00829635299201562,0.801364373101596,1.20051307426471,0.00829635299201562,-104.7358322,55.64749908,n.a.
"3",1,best_bic,0.552490331333918,-0.544482568464033,-0.544482568464033,0.188524415034471,1,1.08812012519682,1.12112061794545,0.0466596818958641,0.325857994957027,0.181593902243247,0.186265533353628,0.988499635371492,1.11502063164822,0.0844164090085014,0.314297998386177,0.178369783379071,0.260344459239062,0.212432931512421,0.892207778374033,0.893040528465614,0.00680905956943551,0.892207778374033,0.893040528465614,0.00680905956943551,-104.7358322,55.64749908,n.a.
"4",1,best_rmse,0.550658804632233,-0.629003197892303,-0.629003197892303,0.178812187584518,1,0.949603467590762,1.16304350607843,0.0759693764045314,0.438938360585985,0.243540566594921,0.227696314290242,0.894584277664149,1.15122528294597,0.0522060389884826,0.358113864003743,0.236912361691064,0.211378955593872,0.236013938618966,0.808028766262238,0.678993736565506,0.00496477691190469,0.808028766262238,0.678993736565506,0.00496477691190469,-104.7358322,55.64749908,n.a.
"5",100,best_aic,2.08074449268502,0.241271188908422,0.241271188908422,0.284982352375694,2,2.77384585196451,1.99834829288079,0.594011501988506,3.27694406714828,0.462505037281593,0.244882475322829,1.08378283151394,2.06306112179087,0.659285396154676,0.898963732540474,0.532291926814215,0.27423474013099,0.281921795008404,0.721593212844774,1.62317968908341,0.274725646326164,0.00244737252460824,2.82609958400803,0.99241621610565,-117.2057037,54.75201035,n.a.
"6",100,best_bic,2.16230307494612,0.231450366305379,0.231450366305379,0.277272430887396,1,1.21675425643142,2.03141346754544,0.665212036701565,0.787061803272623,0.346642395257878,0.18274140492094,1.1598410195238,2.13317805658331,0.640097233840422,0.761096948932055,0.186617185523369,0.0787206181967194,0.26251522322212,3.17494534402068,2.40520902804028,0.760762156368267,3.17494534402068,2.40520902804028,0.760762156368267,-117.2057037,54.75201035,n.a.
"7",100,best_rmse,2.04493420749506,0.244975090445976,0.244975090445976,0.305431596854458,2,3.72305566743643,2.07012299862896,0.731349536046285,4.42955645477416,0.633529282876944,0.305057520700411,0.793901642286598,2.09444164117299,0.642675745785692,0.632176336234285,0.603599441161396,0.378232132762859,0.303240365259068,2.21100177723254,2.8121429339042,0.988230665852516,1.79669618531843,1.19019815076062,0.192287955181105,-117.2057037,54.75201035,n.a.
"8",1000,best_aic,1.69841239959447,0.283699751051124,0.283699751051124,0.288200995418474,2,5.69819625955214,1.02921452939667,0.392521884750271,4.67346486101402,0.105201575494253,0.44953224487457,0.790923498083046,1.0245357869663,0.670871688712808,0.344216276566567,0.0822556682903265,0.406929729092892,0.328092320442229,0.78006212209985,1.00407811149625,0.844287716933342,0.373073817014649,0.988161172269564,0.104687396090722,-113.947692871,49.4864006042,n.a.
"9",1000,best_bic,1.71060139607744,0.254508932883178,0.254508932883178,0.274009355515344,2,6.88273785106536,0.995100454819067,0.27308003177544,4.56279878657706,0.0735888523652843,0.344575213883211,0.846079921225046,1.00798559057212,0.74518277885619,0.516624053980555,0.0612891795677343,0.342471454543161,0.304819766079997,10.7126759513403,0.999754368000767,0.105389051064785,1.30829608815425,1.00962532137918,0.956667062622798,-113.947692871,49.4864006042,n.a.
"10",1000,best_rmse,1.72271603847698,0.173167908568648,0.173167908568648,0.245994097535115,2,5.68357290849758,1.00611681154009,0.438808585536758,4.6298560050304,0.10551010569734,0.459447902043632,0.675462809458198,1.01597793943915,0.65585879045875,0.298163474859284,0.0728904472965407,0.428272049053408,0.273443368739735,0.622711172541344,0.999304186581891,0.960705328153756,0.30152109936887,1.00507913296879,0.109943348399574,-113.947692871,49.4864006042,n.a.
"11",1003,best_aic,1.47241172961333,0.0448195758122535,0.0448195758122535,0.0454730017142427,2,4.71290214599884,1.25639300332434,0.146910776900524,3.56882178748215,0.315244763069043,0.219774973816451,0.84292605962713,1.02762971503024,0.518612272562863,0.416484141891482,0.191181272360036,0.312295836146683,0.0320598628561958,2.0019629130045,1.20435040488512,0.0684342844107397,0.703075574401502,0.985427372567973,0.685943043167227,-114.144378662,49.488658905,n.a.
"12",1003,best_bic,1.47283784793515,0.0803037050699967,0.0803037050699967,0.0558460187084435,1,2.25224974324505,1.02102658039958,0.146836689976684,3.84727888177423,0.368034117935485,0.289145960987114,0.933170533338952,0.911018309475842,0.271060156968825,0.334944579838799,0.238201443959381,0.36326651072717,0.0551883479184546,14.4542771215632,1.32823004986537,0.0782854568851547,0.924798507042405,0.951246437400706,0.718706773741176,-114.144378662,49.488658905,n.a.
"13",1003,best_rmse,1.4759440943524,0.0522995615382684,0.0522995615382684,0.0479598641539022,2,4.02561210806136,1.24711378866621,0.180002443739633,4.51108730057941,0.317304398028234,0.265404252496466,0.924954293525688,1.06517902030619,0.469501530193574,0.318889313300166,0.237651622428788,0.320083926772725,0.0484621345059906,1.9738862762349,1.35298405274218,0.0745095438084605,0.987822460697034,1.18809879609185,0.635178290979204,-114.144378662,49.488658905,n.a.
"14",1004,best_aic,1.54072216667706,0.0382973790848386,0.0382973790848386,0.157826216519235,1,1.46732072766019,0.881241920464016,0.120513343759577,1.77259114404879,0.155876176053299,0.140290978056455,0.873140007572399,0.869607468416334,0.146878281801862,0.198873752779019,0.124578490607924,0.20067192211022,0.155057569624408,1.07602240654155,0.781323927024397,0.0730857980487799,1.07602240654155,0.781323927024397,0.0730857980487799,-114.183326721,49.8138885498,n.a.
"15",1004,best_bic,1.58032830358972,0.00200710416063302,0.00200710416063302,0.125068801684191,1,1.75641802952544,0.90041035668614,0.103361931163029,2.23227705558999,0.194615530860606,0.101219580416515,0.91102165815496,0.865749078833957,0.177130481133085,0.285093023351131,0.130834090760952,0.229834415935166,0.121819542397351,6.35899996888296,1.26141787832227,0.103788692930321,0.622236514678975,0.917322936424443,0.676714427931974,-114.183326721,49.8138885498,n.a.
"16",1004,best_rmse,1.54892617934967,0.0552703524178823,0.0552703524178823,0.156039268637908,1,3.07668437659966,0.958353001278667,0.114779448426161,3.79817957891424,0.263559927590308,0.15542759042008,1.02843857718931,0.878128135209064,0.227814317172244,0.280787849690866,0.14419292111519,0.266067019136968,0.146940124777425,1.0738937226132,0.736133756848528,0.0647949337856517,1.0738937226132,0.736133756848528,0.0647949337856517,-114.183326721,49.8138885498,n.a.
"17",1006,best_aic,1.48408604032571,0.0650746354902709,0.0650746354902709,0.0546035629924347,2,4.92884888745129,1.07492959890665,0.178882860270534,4.70863956760521,0.335816922464028,0.232607167923794,0.870156334116963,0.970519121599033,0.451209147360513,0.363074310587718,0.32549675208051,0.385342813924179,0.0676623204280608,1.06269669955625,0.700426570897532,0.0559600391945537,1.06269669955625,0.700426570897532,0.0559600391945537,-114.420593262,49.8377914429,n.a.
"18",1006,best_bic,1.50585618205892,0.0565417868321672,0.0565417868321672,0.0447418805974097,1,2.69393416453932,0.846499053803158,0.0675364126046194,3.64672822616157,0.298132362175332,0.016878251273136,1.03045129825428,0.747767523684515,0.215597279350377,0.400113242553764,0.11127732442079,0.290540599127418,0.0634216366827204,2.19225741463136,0.695197418029298,0.0547053631377225,2.19225741463136,0.695197418029298,0.0547053631377225,-114.420593262,49.8377914429,n.a.
