"","catchment_no","criteria","mean_nrmse","mean_r2","mean_nse","mean_kge","n_windows","sd_windows","mean_delta1","mean_sigma1","sd_delta1","sd_sigma1","mean_delta2","mean_sigma2","sd_delta2","sd_sigma2","median_mod_kge","median_mod_delta1","median_mod_sigma1","median_mod_delta2","median_mod_sigma2","longitude","latitude","region"
"1",1,best_aic,0.572556588638295,-0.719340240274036,-0.719340240274036,0.271176943476298,2,0.476095228569523,0.782178862157318,3.47787276033968,1.28230314765777,5.95440220172311,0.161275263221078,4.63540233525123,0.265762153607563,5.88903864923203,0.265756665563181,0.189640004081423,0.503376373055692,0.189640004081423,0.503376373055692,-104.7358322,55.64749908,n.a.
"2",1,best_aic,0.572556588638295,-0.719340240274036,-0.719340240274036,0.271176943476298,2,0.476095228569523,0.782178862157318,3.47787276033968,1.28230314765777,5.95440220172311,0.161275263221078,4.63540233525123,0.265762153607563,5.88903864923203,0.265756665563181,0.189640004081423,0.503376373055692,0.189640004081423,0.503376373055692,-104.7358322,55.64749908,n.a.
"3",1,best_bic,0.567702716978769,-0.645183227357474,-0.645183227357474,0.266579953063024,2,0.374165738677394,1.88736203615775,3.28707209792691,5.12895948648664,5.1435772685595,0.155346406645304,10.133473752789,0.229835490628755,13.7202160632393,0.272144565074151,0.0552996937243551,16.0612296416547,1.97692542130913e-05,0.198907862289183,-104.7358322,55.64749908,n.a.
"4",1,best_rmse,0.571945783998199,-0.684061241330191,-0.684061241330191,0.237610640543799,2,0.435889894354067,3.54716458171701,2.00909578992767,9.99436767732342,4.0241137420654,0.175732406190828,7.66562058415863,0.279850990991522,8.99377860947512,0.28161597485472,0.13275587528928,0.0540622751465436,0.00253912180513035,10.1951337017014,-104.7358322,55.64749908,n.a.
"5",100,best_aic,2.23352069405028,0.223356915778402,0.223356915778402,0.237259460775762,2,0,0.421641371279983,1.18052003673837,0.303231501543714,2.19270551992152,0.0229799421020097,3.90994149318973,0.0326003021518348,2.05185706725675,0.187511158822445,0.0280796066037807,0.333436307313158,0.000814202169206854,6.3512201418051,-117.2057037,54.75201035,n.a.
"6",100,best_bic,2.20279275693156,0.219834759047598,0.219834759047598,0.249412958834141,2,0,0.429642893956848,1.02656407562155,0.287628966686218,2.04849086368524,0.0136994287299353,4.98519896080053,0.0223946302359985,3.73097304118414,0.187094995978971,0.700534462416177,0.0957342781177108,0.000926642355034559,7.98559040444819,-117.2057037,54.75201035,n.a.
"7",100,best_rmse,2.1609157178015,0.219983697717641,0.219983697717641,0.263861263221574,2,0,0.464272443669922,1.47702941182465,0.351437242708203,2.58750642717545,0.0126258331993013,3.30552471620103,0.019420130047299,1.92313350042007,0.245726158480465,0.0991215236115902,5.29265578047315,0.0919124023893858,0.187035352178329,-117.2057037,54.75201035,n.a.
"8",1000,best_aic,1.74638884933352,0.215039259066301,0.215039259066301,0.344709479752475,2,0,0.0316595312890088,6.73899482488376,0.0400906846933705,8.59411457484396,0.00678652799410125,3.43574206902806,0.00930344394601808,4.74571777472007,0.349227955344417,0.0867014019777774,0.00273068039585447,0.0162129067105855,8.03246647745036,-113.947692871,49.4864006042,n.a.
"9",1000,best_bic,1.76676814580751,0.0998252335586147,0.0998252335586147,0.342591844613547,2,0,0.0709402170711352,4.40590403191261,0.149797577351738,4.50926556930171,0.00733261331204087,3.13978567708625,0.011888745057938,3.80201217186752,0.345076692649227,0.000222372890339961,4.66948783588282,0.000109829081224356,0.0896551812839743,-113.947692871,49.4864006042,n.a.
"10",1000,best_rmse,1.75966538971967,0.173161459750857,0.173161459750857,0.356538115534078,2,0,0.0694309725188374,6.07985490789796,0.153673507272463,5.64667893611341,0.0131651030745164,2.39953666045016,0.0221639940999121,3.33073918793491,0.35684692575719,0.0136320011688841,12.6960803716563,0.00699532049459942,0.083295505968574,-113.947692871,49.4864006042,n.a.
"11",1003,best_aic,1.49362800019367,0.0207068284368475,0.0207068284368475,0.0427385325512044,2,0,0.0787822678988888,11.2494779459347,0.11678401051732,15.6283382470791,0.00651264028293488,8.39035201922676,0.0137789034669378,10.3066383416109,0.0383003197340359,0.027899819986257,14.9536783443336,0.0144061318660161,0.0730992711680073,-114.144378662,49.488658905,n.a.
"12",1003,best_bic,1.49501344520514,0.0609592780854048,0.0609592780854048,0.0545670972214316,2,0,0.079242533767553,12.5828945017619,0.114791974915327,17.4494424863722,0.00509556062476846,9.22845165181123,0.0100318346954614,10.3460876139988,0.05321371556996,0.0167592845563149,76.6832997190273,0.0091759875618418,0.0263154166805427,-114.144378662,49.488658905,n.a.
"13",1003,best_rmse,1.50302661031564,0.0541787257844786,0.0541787257844786,0.0412847541938959,2,0,0.100053085744724,11.1257728770329,0.142749428251684,14.8924253924549,0.00692839921764712,9.5467545974387,0.0179578822520617,11.2330423893631,0.0397046118908136,0.0280791140310074,13.3815517714696,0.011231453520032,0.0615988935726238,-114.144378662,49.488658905,n.a.
"14",1004,best_aic,1.63457537067283,-0.0912202203335181,-0.0912202203335181,0.140221172386462,2,0,0.0771974295352617,3.1531241814393,0.0963992739164256,6.1885297707673,0.0120125947858584,14.5395852352112,0.0305412968243603,12.1014357225513,0.13883023070905,0.0575718774938044,0.0813615263863467,0.00589677710207819,16.1469888390768,-114.183326721,49.8138885498,n.a.
"15",1004,best_bic,1.59981436982762,0.00514471176994919,0.00514471176994919,0.160536922722919,2,0,0.0558480855857803,4.54026229107617,0.0607402321213509,6.5313811355851,0.00839263235132134,9.95535682411234,0.0112771221698251,10.2886709025265,0.146530127909181,0.25940457376594,0.0617067814206925,4.04441961145671e-06,9.51898229047441,-114.183326721,49.8138885498,n.a.
"16",1004,best_rmse,1.60874486706416,-0.0373717867299663,-0.0373717867299663,0.155578225508762,2,0,0.0430821938182093,9.40586584416326,0.0751448914756764,11.8226605409184,0.00532249443762028,7.83013160264408,0.0095118789790154,11.1200834911001,0.156936460796466,0.0203513386606826,17.0061750030513,0.00584247981551009,0.0813545918707107,-114.183326721,49.8138885498,n.a.
"17",1006,best_aic,1.53474755587163,-0.000368455121087128,-0.000368455121087128,0.0431445891778099,2,0,0.0331402485229751,10.3116773084674,0.0614625690295491,10.8239230838414,0.00113514303309418,8.72124479419801,0.00243250000803419,12.8337138609846,0.0481847419777872,0.108195300632514,0.164281795081557,0.00153806498789786,16.3703596244469,-114.420593262,49.8377914429,n.a.
"18",1006,best_bic,1.51883951326802,0.0209612923870715,0.0209612923870715,0.0526692307946039,2,0,0.0611569545746058,9.10477132719073,0.13437780924655,10.7304586071064,0.000626997062364744,12.1420003242486,0.000933723585245151,13.8602396344577,0.0569869569109939,0.0072896742891499,19.3397587978064,7.13539028691914e-07,0.143207880612853,-114.420593262,49.8377914429,n.a.
"19",1006,best_rmse,1.52972255549575,0.0112935555801247,0.0112935555801247,0.0438286871062621,2,0,0.0367194950217621,8.00253233105406,0.0518844877895276,11.7033794709339,0.000914003726261917,12.7807249274517,0.00174506285727099,12.9196933463063,0.0531293908641979,1.31407070231006e-05,0.128784220226794,0,13.146928112481,-114.420593262,49.8377914429,n.a.
"20",1007,best_bic,0.972956025541999,-0.134175943084495,-0.134175943084495,0.222603670828371,2,0,0.152763836617293,10.4700876281062,0.248062042899086,12.1883862486445,0.00315438354377373,6.81776941351704,0.00627848118447822,11.2485689972151,0.224913129654507,0.000195204284915972,10.1339469990486,0.000113666892588948,0.105449584460725,-114.400543213,49.6018486023,n.a.
"21",1011,best_aic,4.3101609261177,-1.57751335237809,-1.57751335237809,-0.996257388424429,2,0,0.21012465410804,8.91211802948525,0.195106453691945,17.9826475145543,0.0445322145961948,4.35010978014833,0.0751056642283783,7.74393408430201,-0.124177368761551,0.275875365926377,0.0987507662059073,0.210459848703659,5.16103244439825,-113.663543701,49.9541282654,n.a.
