"","IRF_x1"
"1",0.000106711024428196
"2",0.000331897107277445
"3",0.000346476006829482
"4",0.00042329539142948
"5",0.000444261919274279
"6",0.00047421370247593
"7",0.000490750539392567
"8",0.000509565657550673
"9",0.000520823336041711
"10",0.000545122748457342
"11",0.000566457382043544
"12",0.000597197534630904
"13",0.000625059365073613
"14",0.000640522129630592
"15",0.000658897928203113
"16",0.000686388060722587
"17",0.000693319372971777
"18",0.000712566701838179
"19",0.000730472187756351
"20",0.00073793480927683
"21",0.000743857687075545
"22",0.000746708178088118
"23",0.000741193943180946
"24",0.000747894617868663
"25",0.000746283439174152
"26",0.000744598917639551
"27",0.000750045652731502
"28",0.000740176729079632
"29",0.000749169599269103
"30",0.000731985308135557
"31",0.000731168169052613
"32",0.000721801892381996
"33",0.000720437037999596
"34",0.000716432375057346
"35",0.000705719633603084
"36",0.000701977884810343
"37",0.00069713575997096
"38",0.000705394782498239
"39",0.000685883963631752
"40",0.000679140816307482
"41",0.000673283683027627
"42",0.000657319818648776
"43",0.000658103276588205
"44",0.000637684146416125
"45",0.000619072766582773
"46",0.000605491814566962
"47",0.000577836147959042
"48",0.000567024437202648
"49",0.000550541044134941
"50",0.000530937434014265
"51",0.00052154756157937
"52",0.000510738895854237
"53",0.000494907936426376
"54",0.000471611497742348
"55",0.000461381515424843
"56",0.000447376566948865
"57",0.000426078933128318
"58",0.000412670674837707
"59",0.000402108259098974
"60",0.000383051021885789
"61",0.000376316726247977
"62",0.000365603962524752
"63",0.00036961160989128
"64",0.000348710321704191
"65",0.000348472783266639
"66",0.000339494907627614
"67",0.000325681579747164
"68",0.000317944805318977
"69",0.00031413532957561
"70",0.000298186667519161
"71",0.000291211544478498
"72",0.000274014162746795
"73",0.000261392783106254
"74",0.0002434997596566
"75",0.000243226755880277
"76",0.000227655935045072
"77",0.000218195507949661
"78",0.000206785648089645
"79",0.000201554984186141
"80",0.000195046783405821
"81",0.000185571153797368
"82",0.000178250889694645
"83",0.000167659951298613
"84",0.000157822712638288
"85",0.000147378079162737
"86",0.000130068788108397
"87",0.000125107889029508
"88",0.000113295942164064
"89",0.000102273702739814
"90",7.73287718252706e-05
"91",6.98988119311022e-05
"92",5.72163914865079e-05
"93",4.34348732276199e-05
"94",4.01901145096821e-05
"95",2.96664536861327e-05
"96",2.38710750032732e-05
"97",2.33916816905463e-05
"98",1.72627894461316e-05
"99",3.4354252819025e-06
